timestamp,rmssd,coverage,low_frequency,high_frequency
2023-11-09T00:20:00,81.933,0.984,1882.174,1544.613
2023-11-09T00:25:00,76.733,1.003,787.277,1301.855
2023-11-09T00:30:00,70.293,1.001,545.819,908.251
2023-11-09T00:35:00,75.055,0.967,868.629,971.893
2023-11-09T00:40:00,72.072,1.003,469.796,1119.112
2023-11-09T00:45:00,75.034,1.003,318.781,1067.344
2023-11-09T00:50:00,77.854,0.998,409.6,1149.745
2023-11-09T00:55:00,88.142,0.909,1630.919,1024.608
2023-11-09T01:00:00,84.289,0.998,1496.15,1756.3
2023-11-09T01:05:00,82.255,1.005,404.515,1738.727
2023-11-09T01:10:00,83.079,1.004,654.832,1430.888
2023-11-09T01:15:00,79.152,0.966,1828.412,1127.237
2023-11-09T01:20:00,95.368,0.981,4653.013,2583.319
2023-11-09T01:25:00,83.781,0.974,5140.097,2111.947
2023-11-09T01:30:00,83.777,0.958,8054.534,2051.982
2023-11-09T01:35:00,83.687,0.999,15415.289,1253.917
2023-11-09T01:40:00,81.189,0.924,1483.864,1249.722
2023-11-09T01:45:00,76.385,1.001,641.78,1487.021
2023-11-09T01:50:00,69.959,1.001,163.895,1049.08
2023-11-09T01:55:00,81.464,0.865,1759.608,961.52
2023-11-09T02:00:00,76.217,1.0,753.123,1190.126
2023-11-09T02:05:00,80.793,0.954,794.905,1272.89
2023-11-09T02:10:00,104.973,0.903,10125.706,2087.72
2023-11-09T02:15:00,94.252,1.004,781.346,2127.467
2023-11-09T02:20:00,96.829,0.999,890.564,2504.905
2023-11-09T02:25:00,103.18,0.949,3739.031,3089.285
2023-11-09T02:30:00,115.745,0.998,19657.196,3115.536
2023-11-09T02:35:00,91.4,1.006,1487.453,2092.847
2023-11-09T02:40:00,52.682,1.001,1637.139,499.226
2023-11-09T02:45:00,61.161,0.959,3246.798,768.986
2023-11-09T02:50:00,88.108,0.978,2061.497,1858.048
2023-11-09T02:55:00,97.455,0.898,5193.646,2061.427
2023-11-09T03:00:00,118.812,0.915,1139.048,3038.179
2023-11-09T03:05:00,118.357,0.996,1818.243,2920.826
2023-11-09T03:10:00,116.653,1.005,498.493,3147.073
2023-11-09T03:15:00,137.52,0.967,5852.175,6861.522
2023-11-09T03:20:00,101.637,1.001,855.377,3371.065
2023-11-09T03:25:00,113.754,1.002,567.824,4317.47
2023-11-09T03:30:00,119.143,0.906,8262.137,2969.14
2023-11-09T03:35:00,89.425,0.988,605.925,2095.137
2023-11-09T03:40:00,87.324,0.996,1382.684,1718.641
2023-11-09T03:45:00,88.329,0.995,672.982,1768.125
2023-11-09T03:50:00,92.136,1.003,790.415,1802.785
