timestamp,rmssd,coverage,low_frequency,high_frequency
2023-11-24T01:35:00,96.923,0.892,1583.923,1665.678
2023-11-24T01:40:00,73.329,0.948,568.621,868.258
2023-11-24T01:45:00,70.975,1.002,289.499,901.986
2023-11-24T01:50:00,71.872,0.994,750.742,777.105
2023-11-24T01:55:00,67.127,0.998,307.845,972.374
2023-11-24T02:00:00,74.999,0.997,556.758,1093.885
2023-11-24T02:05:00,78.55,1.005,370.978,1238.949
2023-11-24T02:10:00,76.051,0.987,815.709,1172.037
2023-11-24T02:15:00,80.093,1.006,436.798,1179.36
2023-11-24T02:20:00,85.241,0.999,1199.149,1414.946
2023-11-24T02:25:00,66.078,0.941,3584.613,918.97
2023-11-24T02:30:00,104.014,0.757,4718.121,1733.998
2023-11-24T02:35:00,92.222,0.975,1303.768,1845.509
2023-11-24T02:40:00,102.343,0.908,1438.118,2279.786
2023-11-24T02:45:00,94.753,0.921,901.243,1926.606
2023-11-24T02:50:00,68.093,0.992,1031.422,1143.108
2023-11-24T02:55:00,83.592,0.909,5198.26,1291.186
2023-11-24T03:00:00,83.377,0.991,703.008,1693.479
2023-11-24T03:05:00,86.168,1.004,158.7,1690.829
2023-11-24T03:10:00,90.609,0.988,313.406,1724.366
2023-11-24T03:15:00,101.782,1.006,1170.104,2153.71
2023-11-24T03:20:00,100.573,1.002,275.849,2115.094
2023-11-24T03:25:00,93.683,0.94,3624.644,1211.399
2023-11-24T03:30:00,100.297,0.993,585.224,1715.386
2023-11-24T03:35:00,101.63,0.989,12502.385,1523.911
2023-11-24T03:40:00,101.251,0.963,1906.369,1649.633
2023-11-24T03:45:00,82.878,0.985,1566.088,1093.858
2023-11-24T03:55:00,101.47,0.831,5985.115,1862.1
2023-11-24T04:00:00,95.616,0.985,672.756,1955.663
2023-11-24T04:05:00,88.393,0.917,1913.729,1636.291
2023-11-24T04:10:00,114.812,0.942,4770.728,3906.535
2023-11-24T04:15:00,123.357,1.004,1021.015,3929.166
2023-11-24T04:20:00,114.651,0.98,624.29,2881.233
2023-11-24T04:25:00,116.351,0.987,763.63,3458.608
2023-11-24T04:30:00,124.583,0.837,6945.629,2604.218
2023-11-24T04:35:00,119.198,0.954,871.488,3691.903
2023-11-24T04:40:00,110.746,0.969,2551.14,2763.118
2023-11-24T04:45:00,111.593,0.973,836.641,3454.39
2023-11-24T04:50:00,111.824,0.935,707.465,3174.329
2023-11-24T05:00:00,113.416,0.871,5644.932,3283.628
2023-11-24T05:05:00,97.566,1.0,5218.743,1434.717
2023-11-24T05:10:00,91.842,0.951,2818.175,1986.353
2023-11-24T05:15:00,104.17,0.97,10022.08,2270.666
2023-11-24T05:20:00,129.629,0.779,17511.864,4471.989
2023-11-24T05:25:00,427.766,0.88,14511.575,26318.248
2023-11-24T05:30:00,501.279,0.908,20112.602,28891.846
2023-11-24T05:35:00,87.887,0.925,3132.86,1214.417
2023-11-24T05:40:00,89.079,0.995,376.144,1544.004
2023-11-24T05:45:00,93.373,0.982,657.183,1670.739
2023-11-24T05:50:00,107.361,0.859,1516.84,2387.619
2023-11-24T05:55:00,105.616,1.005,415.202,2272.968
2023-11-24T06:00:00,116.863,0.988,433.464,2669.095
2023-11-24T06:05:00,121.635,0.96,9523.114,1875.316
2023-11-24T06:10:00,121.84,0.999,796.121,3548.981
2023-11-24T06:15:00,114.791,0.979,683.248,3527.236
2023-11-24T06:20:00,120.438,0.958,5044.455,2899.925
2023-11-24T06:25:00,105.931,0.925,3782.87,2484.129
2023-11-24T06:30:00,97.129,0.931,2573.184,1669.703
2023-11-24T06:35:00,109.921,0.952,2683.013,2658.038
2023-11-24T06:40:00,121.213,0.958,7477.63,2778.427
2023-11-24T06:45:00,117.222,0.857,5469.116,2142.685
2023-11-24T06:50:00,102.565,0.936,4608.97,2907.239
2023-11-24T06:55:00,111.3,0.85,13611.348,2144.717
2023-11-24T07:00:00,101.562,0.947,1842.781,2578.678
2023-11-24T07:05:00,107.021,0.936,4553.561,1270.628
2023-11-24T07:10:00,78.882,0.721,2156.041,947.681
