timestamp,rmssd,coverage,low_frequency,high_frequency
2023-11-07T01:25:00,84.81,0.86,1429.908,1177.173
2023-11-07T01:30:00,91.557,0.907,830.139,1661.919
2023-11-07T01:35:00,83.118,0.765,633.432,1161.961
2023-11-07T01:45:00,95.058,0.767,1042.072,1270.112
2023-11-07T01:50:00,90.251,1.005,985.464,1329.976
2023-11-07T01:55:00,82.553,0.987,872.969,1550.847
2023-11-07T02:00:00,81.256,1.003,896.259,1517.425
2023-11-07T02:05:00,80.299,0.974,448.066,1496.3
2023-11-07T02:10:00,90.312,0.992,703.598,2031.788
2023-11-07T02:15:00,81.198,0.897,10086.95,831.721
2023-11-07T02:20:00,98.293,0.956,3582.906,2523.567
2023-11-07T02:25:00,97.026,0.874,9916.368,1411.769
2023-11-07T02:30:00,82.016,0.942,1279.943,2021.41
2023-11-07T02:35:00,92.369,0.977,8795.755,2073.996
2023-11-07T02:40:00,71.769,0.923,3730.182,1357.442
2023-11-07T02:45:00,63.444,0.976,2294.981,1068.268
2023-11-07T02:50:00,82.55,0.968,5026.899,1474.609
2023-11-07T02:55:00,96.039,0.97,1329.091,2424.275
2023-11-07T03:00:00,98.03,0.976,2504.545,2418.678
2023-11-07T03:05:00,99.217,0.977,1237.066,2124.407
2023-11-07T03:10:00,107.264,0.943,2208.758,2061.774
2023-11-07T03:15:00,87.932,0.96,1856.656,1797.789
2023-11-07T03:20:00,76.729,0.971,708.53,1232.464
2023-11-07T03:25:00,86.929,0.986,1366.843,1692.073
2023-11-07T03:30:00,77.247,1.002,531.33,1488.446
2023-11-07T03:35:00,81.032,0.999,349.153,1466.276
2023-11-07T03:40:00,86.573,0.929,4005.801,1337.114
2023-11-07T03:45:00,109.623,0.986,2077.984,3395.435
2023-11-07T03:50:00,97.341,0.969,2216.677,2434.482
2023-11-07T03:55:00,79.431,0.98,1322.691,1273.703
2023-11-07T04:00:00,94.159,1.004,5057.905,1946.957
2023-11-07T04:05:00,87.873,0.989,4349.132,1975.677
2023-11-07T04:10:00,45.962,0.988,1747.784,408.867
2023-11-07T04:15:00,67.102,0.947,4748.849,714.874
2023-11-07T04:20:00,104.63,0.963,3599.213,2250.948
2023-11-07T04:25:00,109.787,0.925,5318.985,2864.329
2023-11-07T04:30:00,109.103,1.002,1853.849,2629.125
2023-11-07T04:35:00,117.517,0.927,2149.526,2778.779
2023-11-07T04:40:00,130.41,0.99,411.332,3884.69
2023-11-07T04:45:00,143.578,0.976,779.529,5667.567
2023-11-07T04:50:00,103.599,0.945,1454.097,2082.089
2023-11-07T04:55:00,87.928,0.987,557.295,1635.112
2023-11-07T05:00:00,86.653,0.98,796.894,1788.498
2023-11-07T05:05:00,84.348,0.988,800.452,1202.063
2023-11-07T05:10:00,111.828,0.91,4853.542,1836.616
2023-11-07T05:15:00,86.746,0.986,5164.12,1761.958
2023-11-07T05:20:00,39.409,0.945,1517.389,261.204
2023-11-07T05:25:00,95.62,0.95,3944.466,1661.035
2023-11-07T05:30:00,105.503,0.945,5649.819,1719.006
2023-11-07T05:35:00,100.243,0.911,2589.764,1907.225
2023-11-07T05:40:00,109.216,0.927,5233.323,3041.401
2023-11-07T05:50:00,92.223,0.72,5682.319,1814.094
2023-11-07T05:55:00,87.834,1.0,2637.93,2116.413
2023-11-07T06:00:00,86.031,0.925,1978.735,1091.922
2023-11-07T06:05:00,101.024,0.883,1941.051,2755.037
2023-11-07T06:10:00,87.306,0.984,4050.25,1586.982
2023-11-07T06:15:00,87.073,0.909,2934.563,1743.27
2023-11-07T06:20:00,77.869,0.99,2677.275,1610.797
2023-11-07T06:25:00,68.987,0.98,2875.449,936.414
2023-11-07T06:30:00,56.514,0.986,1178.829,541.754
2023-11-07T06:35:00,66.707,0.761,853.796,873.627
2023-11-07T07:00:00,104.071,0.96,6905.857,1839.1
2023-11-07T07:05:00,103.697,0.963,4150.082,2446.588
2023-11-07T07:10:00,126.637,0.926,8810.835,3585.943
2023-11-07T07:15:00,99.935,0.898,4864.802,1787.147
2023-11-07T07:20:00,97.407,0.997,8366.846,2028.568
2023-11-07T07:25:00,93.542,0.944,8103.203,2574.507
2023-11-07T07:30:00,98.917,0.932,8612.831,1988.506
2023-11-07T07:35:00,106.294,0.95,5653.321,2886.829
2023-11-07T07:40:00,84.001,0.951,3650.349,831.124
2023-11-07T07:45:00,81.488,0.984,2119.122,1679.258
2023-11-07T07:50:00,110.309,0.86,5096.424,2927.54
2023-11-07T07:55:00,95.28,0.884,6453.491,2792.993
