timestamp,rmssd,coverage,low_frequency,high_frequency
2023-11-27T02:10:00,74.597,0.981,844.14,1442.307
2023-11-27T02:15:00,74.577,0.886,1460.058,1067.624
2023-11-27T02:20:00,62.525,0.999,945.736,862.32
2023-11-27T02:25:00,58.318,0.961,765.595,825.768
2023-11-27T02:30:00,97.164,0.957,1696.852,3202.026
2023-11-27T02:35:00,109.056,0.969,1794.46,3686.256
2023-11-27T02:40:00,83.193,0.947,4175.246,4859.99
2023-11-27T02:45:00,82.862,0.907,6726.936,1994.551
2023-11-27T02:50:00,85.517,0.994,907.059,2099.978
2023-11-27T02:55:00,81.078,1.004,1004.074,2038.382
2023-11-27T03:00:00,86.41,0.887,9205.445,3593.428
2023-11-27T03:05:00,92.364,0.861,3080.089,1847.48
2023-11-27T03:10:00,80.183,1.003,1225.028,1853.178
2023-11-27T03:15:00,74.435,1.003,383.982,1757.023
2023-11-27T03:20:00,83.81,1.003,970.984,3077.119
2023-11-27T03:25:00,84.773,0.97,822.56,1469.076
2023-11-27T03:30:00,69.22,1.001,731.753,1237.065
2023-11-27T03:35:00,73.515,0.962,787.495,1477.312
2023-11-27T03:40:00,104.684,0.942,4700.184,3190.964
2023-11-27T03:45:00,95.478,1.003,1603.361,2941.254
2023-11-27T03:50:00,83.05,0.98,6392.5,2063.428
2023-11-27T03:55:00,46.598,1.003,1804.273,599.565
2023-11-27T04:00:00,56.014,1.003,2352.541,684.99
2023-11-27T04:05:00,62.225,0.99,4678.352,1152.624
2023-11-27T04:10:00,71.895,0.84,1190.436,1222.269
2023-11-27T04:15:00,59.164,0.946,1104.412,905.778
2023-11-27T04:20:00,60.936,0.925,1257.283,895.254
2023-11-27T04:25:00,65.287,1.004,902.411,991.32
2023-11-27T04:30:00,62.546,1.004,572.993,1114.089
2023-11-27T04:35:00,60.741,0.994,1283.962,909.241
2023-11-27T04:40:00,79.907,0.958,3021.27,2267.794
2023-11-27T04:45:00,64.353,0.999,451.81,870.422
2023-11-27T04:50:00,67.112,1.003,1076.809,1085.398
2023-11-27T04:55:00,73.223,0.963,4696.675,1201.354
2023-11-27T05:00:00,79.468,1.003,1085.515,1608.05
2023-11-27T05:05:00,88.811,0.883,13895.435,1590.401
2023-11-27T05:10:00,91.856,0.83,5198.341,1961.519
2023-11-27T05:15:00,89.921,0.884,4761.496,1198.895
2023-11-27T05:20:00,63.014,0.864,3197.613,1014.7
2023-11-27T05:25:00,78.308,0.774,6160.157,3057.477
2023-11-27T05:30:00,68.957,0.865,12086.965,2927.102
2023-11-27T05:35:00,73.141,0.769,4825.042,1045.778
2023-11-27T23:00:00,50.978,0.896,4557.197,1012.185
2023-11-27T23:45:00,95.424,0.944,7019.221,1642.774
2023-11-27T23:50:00,87.503,0.995,2606.52,1905.486
2023-11-27T23:55:00,71.941,0.918,1157.267,1064.093
